PLAYER_NAME,Salary,TEAM_ABBREVIATION,SEASON
Stephen Curry,52411485,GSW,2021-22
Chris Paul,50403633,PHO,2021-22
Russell Westbrook,50403633,WAS,2021-22
James Harden,50277018,BRK,2021-22
John Wall,50277018,HOU,2021-22
Kevin Durant,48880434,BRK,2021-22
LeBron James,47796549,LAL,2021-22
Paul George,43203114,LAC,2021-22
Mike Conley,42047453,UTA,2021-22
Kemba Walker,41897515,BOS,2021-22
Kawhi Leonard,41897515,LAC,2021-22
Jimmy Butler,41897515,MIA,2021-22
Tobias Harris,41872836,PHI,2021-22
Blake Griffin,41313933,BRK,2021-22
Kyrie Irving,41097748,BRK,2021-22
Khris Middleton,40279853,MIL,2021-22
Anthony Davis,39902395,LAL,2021-22
Damian Lillard,38543497,POR,2021-22
Kevin Love,38094169,CLE,2021-22
Ben Simmons,37242235,PHI,2021-22
Pascal Siakam,37242235,TOR,2021-22
Kyle Lowry,37170089,TOR,2021-22
Steven Adams,36064364,NOP,2021-22
Nikola Jokic,36002595,DEN,2021-22
Andrew Wiggins,36002595,GSW,2021-22
Joel Embiid,36002595,PHI,2021-22
Kristaps Porzingis,35912155,DAL,2021-22
Karl-Anthony Towns,35912155,MIN,2021-22
Devin Booker,35912155,PHO,2021-22
CJ McCollum,35773654,POR,2021-22
Andre Drummond,35039540,LAL,2021-22
Bradley Beal,35039541,WAS,2021-22
D'Angelo Russell,34914596,MIN,2021-22
Gordon Hayward,34732706,CHO,2021-22
DeMar DeRozan,33806470,SAS,2021-22
Giannis Antetokounmpo,33548245,MIL,2021-22
Rudy Gobert,33544824,UTA,2021-22
Al Horford,33514014,OKC,2021-22
Jamal Murray,33251996,DEN,2021-22
Brandon Ingram,33251996,NOP,2021-22
Jrue Holiday,32936368,MIL,2021-22
Nikola Vucevic,31685977,CHI,2021-22
Jaylen Brown,30510084,BOS,2021-22
Buddy Hield,30384192,SAC,2021-22
Draymond Green,27112175,GSW,2021-22
Harrison Barnes,27074338,SAC,2021-22
Fred VanVleet,25897193,TOR,2021-22
Victor Oladipo,25592520,MIA,2021-22
Malcolm Brogdon,25226913,IND,2021-22
Julius Randle,24184931,NYK,2021-22
Domantas Sabonis,24130090,IND,2021-22
Gary Harris,23899409,ORL,2021-22
Danilo Gallinari,23764483,ATL,2021-22
Zach LaVine,23764483,CHI,2021-22
Jerami Grant,23216072,DET,2021-22
Terry Rozier,23033268,CHO,2021-22
Aaron Gordon,22102631,DEN,2021-22
Clint Capela,21936446,ATL,2021-22
Bogdan Bogdanovic,21936446,ATL,2021-22
Myles Turner,21936446,IND,2021-22
Goran Dragic,21936446,MIA,2021-22
Bojan Bogdanovic,21753642,UTA,2021-22
LaMarcus Aldridge,21483506,BRK,2021-22
Gorgui Dieng,21433964,SAS,2021-22
Evan Fournier,20900558,BOS,2021-22
Ricky Rubio,20717754,MIN,2021-22
Eric Bledsoe,20565418,NOP,2021-22
Eric Gordon,20558431,HOU,2021-22
Caris LeVert,19747315,IND,2021-22
Joe Harris,19586113,BRK,2021-22
James Johnson,19556463,NOP,2021-22
Cody Zeller,18787018,CHO,2021-22
Danny Green,18726233,PHI,2021-22
Jonas Valanciunas,18280371,MEM,2021-22
Andre Iguodala,18280371,MIA,2021-22
Davis Bertans,18280371,WAS,2021-22
Marcus Morris,18138663,LAC,2021-22
Rudy Gay,17671026,SAS,2021-22
Dejounte Murray,17410226,SAS,2021-22
Will Barton,16724363,DEN,2021-22
Thaddeus Young,16507175,CHI,2021-22
Terrence Ross,16452334,ORL,2021-22
Malik Beasley,16362023,MIN,2021-22
Patrick Beverley,16249218,LAC,2021-22
Christian Wood,15862334,HOU,2021-22
Justise Winslow,15842988,MEM,2021-22
Marcus Smart,15777701,BOS,2021-22
Jusuf Nurkic,15707578,POR,2021-22
Kelly Olynyk,15623197,HOU,2021-22
Brook Lopez,15474547,MIL,2021-22
Cory Joseph,15355512,DET,2021-22
Markelle Fultz,14976129,ORL,2021-22
Taurean Prince,14928970,CLE,2021-22
Tony Snell,14841920,ATL,2021-22
Robert Covington,14792897,POR,2021-22
Kentavious Caldwell-Pope,14713286,LAL,2021-22
Nicolas Batum,14146851,LAC,2021-22
Jordan Clarkson,14014951,UTA,2021-22
Spencer Dinwiddie,13958950,BRK,2021-22
Dillon Brooks,13893082,MEM,2021-22
Dwight Powell,13503253,DAL,2021-22
Lonzo Ball,13410215,NOP,2021-22
Josh Richardson,13242242,DAL,2021-22
Norman Powell,13242242,POR,2021-22
Jeremy Lamb,12796260,IND,2021-22
DeAndre Jordan,12644750,BRK,2021-22
Joe Ingles,12630075,UTA,2021-22
Zion Williamson,12486078,NOP,2021-22
Paul Millsap,12308783,DEN,2021-22
Rodney Hood,12244741,TOR,2021-22
Tomas Satoransky,12186914,CHI,2021-22
Jayson Tatum,12061535,BOS,2021-22
Anthony Edwards,11891308,MIN,2021-22
Al-Farouq Aminu,11846777,CHI,2021-22
Dante Exum,11699437,CLE,2021-22
George Hill,11687984,PHI,2021-22
De'Anthony Melton,11664963,MEM,2021-22
Kyle Anderson,11583784,MEM,2021-22
Meyers Leonard,11455699,MIA,2021-22
Tristan Thompson,11282645,BOS,2021-22
Serge Ibaka,11282645,LAC,2021-22
Montrezl Harrell,11282645,LAL,2021-22
Jae Crowder,11282645,PHO,2021-22
Derrick Favors,11282645,UTA,2021-22
Dario Saric,11272895,PHO,2021-22
Ja Morant,11171500,MEM,2021-22
Delon Wright,10968223,SAC,2021-22
Cedi Osman,10773939,CLE,2021-22
Tyus Jones,10745376,MEM,2021-22
James Wiseman,10639468,GSW,2021-22
Royce O'Neale,10358877,UTA,2021-22
Maxi Kleber,10328410,DAL,2021-22
Thomas Bryant,10155761,WAS,2021-22
RJ Barrett,10031975,NYK,2021-22
Jakob Poeltl,9873657,SAS,2021-22
De'Aaron Fox,9870946,SAC,2021-22
Luka Doncic,9809686,DAL,2021-22
Mason Plumlee,9749531,DET,2021-22
Seth Curry,9547776,PHI,2021-22
Derrick Rose,9363116,NYK,2021-22
Cristiano Felicio,9175552,CHI,2021-22
Rajon Rondo,9140185,LAC,2021-22
De'Andre Hunter,9045127,ATL,2021-22
Doug McDermott,8937070,IND,2021-22
Robin Lopez,8896447,WAS,2021-22
JaMychal Green,8774285,DEN,2021-22
Nemanja Bjelica,8713643,MIA,2021-22
Patrick Williams,8614149,CHI,2021-22
Ivica Zubac,8530840,LAC,2021-22
Darius Miller,8530840,OKC,2021-22
Aron Baynes,8530840,TOR,2021-22
Jabari Parker,8446419,BOS,2021-22
Lauri Markkanen,8203631,CHI,2021-22
Darius Garland,8190484,CLE,2021-22
Trae Young,8008996,ATL,2021-22
Chris Boucher,7921494,TOR,2021-22
Isaac Okoro,7800746,CLE,2021-22
Frank Ntilikina,7527342,NYK,2021-22
Jarrett Culver,7439233,MIN,2021-22
Alec Burks,7312148,NYK,2021-22
Mo Bamba,7274418,ORL,2021-22
Onyeka Okongwu,7085033,ATL,2021-22
Justin Holiday,6971402,IND,2021-22
Avery Bradley,6867326,HOU,2021-22
Coby White,6791377,CHI,2021-22
Trey Lyles,6702802,SAS,2021-22
Malik Monk,6514743,CHO,2021-22
Killian Hayes,6467741,DET,2021-22
Luke Kennard,6427166,LAC,2021-22
Donovan Mitchell,6331712,UTA,2021-22
Rodney McGruder,6327820,DET,2021-22
Bam Adebayo,6234206,MIA,2021-22
Justin Jackson,6227070,MIL,2021-22
Jaxson Hayes,6221614,NOP,2021-22
Ed Davis,6099977,MIN,2021-22
Mike Scott,6099977,PHI,2021-22
Richaun Holmes,6099977,SAC,2021-22
Daniel Theis,6093457,CHI,2021-22
Nerlens Noel,6093457,NYK,2021-22
Collin Sexton,6083561,CLE,2021-22
Pat Connaughton,6018231,MIL,2021-22
Obi Toppin,5925326,NYK,2021-22
Kevon Looney,5875834,GSW,2021-22
Kris Dunn,5809502,ATL,2021-22
Garrett Temple,5809502,CHI,2021-22
Josh Jackson,5809502,DET,2021-22
Elfrid Payton,5809502,NYK,2021-22
Rui Hachimura,5719123,WAS,2021-22
Denzel Valentine,5658140,CHI,2021-22
Kevin Knox,5592185,NYK,2021-22
Cam Reddish,5432926,ATL,2021-22
Mikal Bridges,5312276,PHO,2021-22
Jalen Smith,5174222,PHO,2021-22
Cameron Johnson,5161353,PHO,2021-22
JaVale McGee,5118504,DEN,2021-22
Reggie Bullock,5118504,NYK,2021-22
Shai Gilgeous-Alexander,5046991,OKC,2021-22
John Collins,5042094,ATL,2021-22
Willie Cauley-Stein,4996634,DAL,2021-22
Devin Vassell,4915518,SAS,2021-22
Dorian Finney-Smith,4874765,DAL,2021-22
Patrick McCaw,4874765,TOR,2021-22
Alex Len,4838994,WAS,2021-22
Terrance Ferguson,4806534,PHI,2021-22
Miles Bridges,4794722,CHO,2021-22
Austin Rivers,4788298,DEN,2021-22
Jevon Carter,4783363,PHO,2021-22
Jarrett Allen,4764964,CLE,2021-22
Nicolo Melli,4749771,DAL,2021-22
Gabriel Deck,4716786,OKC,2021-22
Tyrese Haliburton,4669830,SAC,2021-22
Tyler Herro,4658131,MIA,2021-22
Patrick Patterson,4649028,LAC,2021-22
Stanley Johnson,4636085,TOR,2021-22
Jake Layman,4583602,MIN,2021-22
Jerome Robinson,4554883,WAS,2021-22
Romeo Langford,4425312,BOS,2021-22
Wesley Matthews,4415319,LAL,2021-22
Bobby Portis,4415319,MIL,2021-22
Wayne Ellington,4344333,DET,2021-22
Kyle Kuzma,4341195,LAL,2021-22
Tony Bradley,4316678,OKC,2021-22
Derrick White,4285265,SAS,2021-22
Bismack Biyombo,4265420,CHO,2021-22
Boban Marjanovic,4265420,DAL,2021-22
Josh Hart,4254645,NOP,2021-22
Aaron Nesmith,4214722,BOS,2021-22
Sekou Doumbouya,4203754,DET,2021-22
Dewayne Dedmon,4201411,MIA,2021-22
Jeff Teague,4110433,MIL,2021-22
Michael Carter-Williams,4021681,ORL,2021-22
Cole Anthony,4003547,ORL,2021-22
Taj Gibson,4001797,NYK,2021-22
Facundo Campazzo,3899812,DEN,2021-22
Isaiah Stewart,3803633,DET,2021-22
Chuma Okeke,3803633,ORL,2021-22
Nickeil Alexander-Walker,3793981,NOP,2021-22
DeMarcus Cousins,3719241,LAC,2021-22
Donte DiVincenzo,3709891,MIL,2021-22
Khem Birch,3670087,TOR,2021-22
Ryan Arcidiacono,3656074,CHI,2021-22
Trey Burke,3656074,DAL,2021-22
Aleksej Pokusevski,3613225,OKC,2021-22
Goga Bitadze,3604304,IND,2021-22
Ben McLemore,3526442,LAL,2021-22
Luka Samanic,3441974,SAS,2021-22
Josh Green,3432761,DAL,2021-22
Kevin Huerter,3365928,ATL,2021-22
Alex Caruso,3351401,LAL,2021-22
Matisse Thybulle,3304213,PHI,2021-22
Saddiq Bey,3278182,DET,2021-22
Josh Okogie,3230799,MIN,2021-22
Vincent Poirier,3192005,PHI,2021-22
Brandon Clarke,3172156,MEM,2021-22
Precious Achiuwa,3146856,MIA,2021-22
Jeff Green,3125642,BRK,2021-22
Jared Dudley,3125642,LAL,2021-22
Marc Gasol,3125642,LAL,2021-22
Udonis Haslem,3125642,MIA,2021-22
Dwight Howard,3125642,PHI,2021-22
Grayson Allen,3101959,MEM,2021-22
Grant Williams,3045217,BOS,2021-22
Tyrese Maxey,3020941,PHI,2021-22
Chandler Hutchison,2977799,WAS,2021-22
Mfiondu Kabengele,2964287,CLE,2021-22
Darius Bazley,2923835,OKC,2021-22
Moritz Wagner,2905256,ORL,2021-22
Zeke Nnaji,2900290,DEN,2021-22
Aaron Holiday,2858611,IND,2021-22
Bryn Forbes,2848258,MIL,2021-22
Reggie Jackson,2841492,LAC,2021-22
Markieff Morris,2841492,LAL,2021-22
E'Twaun Moore,2841492,PHO,2021-22
Kent Bazemore,2827417,GSW,2021-22
Hassan Whiteside,2827417,SAC,2021-22
Ty Jerome,2806695,OKC,2021-22
Mike Muscala,2782314,OKC,2021-22
Anfernee Simons,2744541,POR,2021-22
Luke Kornet,2742055,BOS,2021-22
Brad Wanamaker,2742055,CHO,2021-22
Nassir Little,2694088,POR,2021-22
Solomon Hill,2649822,ATL,2021-22
Matthew Dellavedova,2649822,CLE,2021-22
Edmond Sumner,2632373,IND,2021-22
Anderson Varejao,2610087,CLE,2021-22
Dylan Windler,2604879,CLE,2021-22
Immanuel Quickley,2565979,NYK,2021-22
John Konchar,2559252,MEM,2021-22
Landry Shamet,2547113,BRK,2021-22
Jordan Poole,2514501,GSW,2021-22
Bol Bol,2508359,DEN,2021-22
Keldon Johnson,2495928,SAS,2021-22
Payton Pritchard,2481012,BOS,2021-22
Robert Williams,2473846,BOS,2021-22
Tyler Johnson,2472230,BRK,2021-22
Bruno Caboclo,2472230,HOU,2021-22
Langston Galloway,2472230,PHO,2021-22
Gary Clark,2459876,PHI,2021-22
Damyean Dotson,2437382,CLE,2021-22
Theo Maledon,2437382,OKC,2021-22
Kenrich Williams,2437382,OKC,2021-22
Quinn Cook,2415018,CLE,2021-22
Cameron Payne,2409366,PHO,2021-22
Udoka Azubuike,2409352,UTA,2021-22
Jaden McDaniels,2394436,MIN,2021-22
Malachi Flynn,2377179,TOR,2021-22
Desmond Bane,2359922,MEM,2021-22
Jontay Porter,2315513,MEM,2021-22
Jahlil Okafor,2294633,DET,2021-22
JaKarr Sampson,2294633,IND,2021-22
Raul Neto,2294633,WAS,2021-22
David Nwaba,2222896,HOU,2021-22
Marquese Chriss,2222896,GSW,2021-22
Georges Niang,2173605,UTA,2021-22
Rodions Kurucs,2169456,MIL,2021-22
PJ Dozier,2148304,DEN,2021-22
Damion Lee,2148304,GSW,2021-22
Alfonzo McKinnie,2148304,LAL,2021-22
Furkan Korkmaz,2148304,PHI,2021-22
Semi Ojeleye,2136305,BOS,2021-22
Abdel Nader,2136305,PHO,2021-22
Thon Maker,2117043,CLE,2021-22
Willy Hernangomez,2117043,NOP,2021-22
Frank Kaminsky,2117043,PHO,2021-22
Monte Morris,2100666,DEN,2021-22
Brandon Goodwin,2073716,ATL,2021-22
Thanasis Antetokounmpo,2073716,MIL,2021-22
Shake Milton,2073716,PHI,2021-22
Ignas Brazdeikis,2055097,ORL,2021-22
Sterling Brown,2046005,HOU,2021-22
Dwayne Bacon,2046005,ORL,2021-22
Torrey Craig,2046005,PHO,2021-22
Bruce Brown,2027733,BRK,2021-22
Jalen Brunson,2027733,DAL,2021-22
Hamidou Diallo,2027733,DET,2021-22
Duncan Robinson,2027733,MIA,2021-22
Kendrick Nunn,2027733,MIA,2021-22
Jarred Vanderbilt,2027733,MIN,2021-22
Mitchell Robinson,2027733,NYK,2021-22
Isaac Bonga,2027733,WAS,2021-22
Isaiah Hartenstein,1974967,CLE,2021-22
Wenyen Gabriel,1974967,NOP,2021-22
Harry Giles,1974967,POR,2021-22
Drew Eubanks,1974967,SAS,2021-22
Bruno Fernando,1849950,ATL,2021-22
Carsen Edwards,1849950,BOS,2021-22
Cody Martin,1849950,CHO,2021-22
Caleb Martin,1849950,CHO,2021-22
Jalen McDaniels,1849950,CHO,2021-22
Javonte Green,1849950,CHI,2021-22
Dean Wade,1849950,CLE,2021-22
Vlatko Cancar,1849950,DEN,2021-22
Eric Paschall,1849950,GSW,2021-22
Alen Smailagic,1849950,GSW,2021-22
Mychal Mulder,1849950,GSW,2021-22
Jalen Lecque,1849950,IND,2021-22
Terance Mann,1849950,LAC,2021-22
Talen Horton-Tucker,1849950,LAL,2021-22
KZ Okpala,1849950,MIA,2021-22
Naz Reid,1849950,MIN,2021-22
Jaylen Nowell,1849950,MIN,2021-22
Luguentz Dort,1849950,OKC,2021-22
Isaiah Roby,1849950,OKC,2021-22
Justin James,1849950,SAC,2021-22
Terence Davis,1849950,SAC,2021-22
Chris Silva,1849950,SAC,2021-22
Matt Thomas,1849950,UTA,2021-22
Miye Oni,1849950,UTA,2021-22
Juwan Morgan,1849950,UTA,2021-22
Daniel Gafford,1849950,WAS,2021-22
Damian Jones,1812540,SAC,2021-22
Jae'Sean Tate,1761858,HOU,2021-22
DaQuan Jeffries,1761858,HOU,2021-22
Kelan Martin,1761858,IND,2021-22
Paul Watson,1761858,TOR,2021-22
Tyrell Terry,1571924,DAL,2021-22
Oshae Brissett,1530058,IND,2021-22
Moses Brown,1523364,OKC,2021-22
Sindarius Thornwell,1506167,ORL,2021-22
Ersan Ilyasova,1455778,UTA,2021-22
Glenn Robinson III,1420167,SAC,2021-22
Khyri Thomas,1293376,HOU,2021-22
Norvel Pelle,1236854,NYK,2021-22
Nick Richards,1218691,CHO,2021-22
Lamar Stevens,1218691,CLE,2021-22
Jahmi'us Ramsey,1218691,SAC,2021-22
Juan Toscano-Anderson,1150399,GSW,2021-22
Shaquille Harrison,1115160,DEN,2021-22
Chimezie Metu,1110099,SAC,2021-22
Deividas Sirvydis,1094762,DET,2021-22
Daniel Oturu,1094762,LAC,2021-22
Jordan Nwora,1094762,MIL,2021-22
Sam Merrill,1094762,MIL,2021-22
Isaiah Joe,1094762,PHI,2021-22
CJ Elleby,1094762,POR,2021-22
Tre Jones,1094762,SAS,2021-22
Elijah Hughes,1094762,UTA,2021-22
Anthony Gill,1094762,WAS,2021-22
Iman Shumpert,978662,BRK,2021-22
Theo Pinson,977612,NYK,2021-22
Yuta Watanabe,899389,TOR,2021-22
Tremont Waters,868047,BOS,2021-22
Frank Jackson,852004,DET,2021-22
Rayjon Tucker,845473,PHI,2021-22
Tyler Cook,844724,DET,2021-22
Garrison Mathews,838523,WAS,2021-22
Gabe Vincent,805250,MIA,2021-22
Tacko Fall,796931,BOS,2021-22
Max Strus,788612,MIA,2021-22
Alize Johnson,757522,BRK,2021-22
Anthony Tolliver,749297,PHI,2021-22
Paul Reed,742339,PHI,2021-22
Tim Frazier,728123,MEM,2021-22
Jordan Bell,721913,GSW,2021-22
Amir Coffey,705429,LAC,2021-22
Naji Marshall,656132,NOP,2021-22
Kyle Guy,655519,SAC,2021-22
Markus Howard,652358,DEN,2021-22
Skylar Mays,648609,ATL,2021-22
Mamadi Diakite,645103,MIL,2021-22
Nathan Knight,637362,ATL,2021-22
Jared Harper,634313,NYK,2021-22
Saben Lee,629863,DET,2021-22
Jarrell Brantley,622246,UTA,2021-22
Jordan McLaughlin,613928,MIN,2021-22
Rondae Hollis-Jefferson,612949,POR,2021-22
Reggie Perry,596120,BRK,2021-22
Cassius Stanley,573625,IND,2021-22
Trent Forrest,573625,UTA,2021-22
Chris Chiozza,547332,BRK,2021-22
Grant Riller,547332,CHO,2021-22
Nate Darling,547332,CHO,2021-22
Devon Dotson,547332,CHI,2021-22
Adam Mokoka,547332,CHI,2021-22
Marques Bolden,547332,CLE,2021-22
Tyler Bey,547332,DAL,2021-22
Nate Hinton,547332,DAL,2021-22
Nico Mannion,547332,GSW,2021-22
Jay Scrubb,547332,LAC,2021-22
Devontae Cacok,547332,LAL,2021-22
Kostas Antetokounmpo,547332,LAL,2021-22
Killian Tillie,547332,MEM,2021-22
Sean McDermott,547332,MEM,2021-22
Jaylen Adams,547332,MIL,2021-22
Josh Hall,547332,OKC,2021-22
Ty-Shon Alexander,547332,PHO,2021-22
Keljin Blevins,547332,POR,2021-22
Keita Bates-Diop,547332,SAS,2021-22
Quinndary Weatherspoon,547332,SAS,2021-22
Jalen Harris,547332,TOR,2021-22
Cassius Winston,547332,WAS,2021-22
Yogi Ferrell,541280,LAC,2021-22
Noah Vonleh,521264,BRK,2021-22
Mason Jones,517387,PHI,2021-22
Brodric Thomas,502346,CLE,2021-22
Andre Roberson,501660,BRK,2021-22
Donta Hall,458563,ORL,2021-22
Brian Bowen,457400,IND,2021-22
Anzejs Pasecniks,456152,WAS,2021-22
Freddie Gillespie,442403,TOR,2021-22
Karim Mane,419908,ORL,2021-22
Will Magnay,416159,NOP,2021-22
Greg Whittington,404912,DEN,2021-22
Chasson Randle,341144,ORL,2021-22
Justin Patton,326149,HOU,2021-22
Gary Payton II,304507,GSW,2021-22
Mike James,289619,BRK,2021-22
Anthony Lamb,262420,HOU,2021-22
Justin Robinson,241349,OKC,2021-22
Axel Toupane,239926,MIL,2021-22
Henry Ellenson,205938,TOR,2021-22
Ashton Hagans,202438,MIN,2021-22
Isaiah Thomas,194622,NOP,2021-22
Armoni Brooks,164964,HOU,2021-22
Jordan Bone,164949,ORL,2021-22
Jaylen Hoard,157465,OKC,2021-22
Amida Brimah,149967,IND,2021-22
Didi Louzada,149967,NOP,2021-22
James Nunnally,131221,NOP,2021-22
Dakota Mathias,104968,PHI,2021-22
Malik Fitts,74983,LAC,2021-22
Jeremiah Martin,71234,CLE,2021-22
Louis King,59986,SAC,2021-22
Cameron Oliver,52489,HOU,2021-22
Elijah Bryant,29993,MIL,2021-22
Stephen Curry,52938707,GSW,2022-23
James Harden,51238730,PHI,2022-23
Russell Westbrook,51123449,LAL,2022-23
Kevin Durant,48588451,BRK,2022-23
LeBron James,47619020,LAL,2022-23
Paul George,45496459,LAC,2022-23
Giannis Antetokounmpo,45496378,MIL,2022-23
Damian Lillard,45496378,POR,2022-23
